"Oq vc faz?","Sou programador de sistemas {br} E faço faculdade de Ciências da computação"
"Sou programador de sistemas {br} E faço faculdade de Ciências da computação","SÉRIO? {br} Que legal {br} Pretendo fazer ciências da computação ano que vem"
"SÉRIO? {br} Que legal {br} Pretendo fazer ciências da computação ano que vem","Meeee {br} Que massa {br} Para quem gosta {br} É muito massa"
"Meeee {br} Que massa {br} Para quem gosta {br} É muito massa","É muito difícil?"
"É muito difícil?","Eu não acho {br} Tem umas matérias mais chatinhas {br} Mas é tranquilo"
"Eu não acho {br} Tem umas matérias mais chatinhas {br} Mas é tranquilo","Não querendo interromper, mas tem whatsapp? {br} Se quiser, é melhor conversar por lá"
"Não querendo interromper, mas tem whatsapp? {br} Se quiser, é melhor conversar por lá","Estava pensando a mesma coisa kkkk {br} Manda mensagem lá {br} 84358176"
"Estava pensando a mesma coisa kkkk {br} Manda mensagem lá {br} 84358176","Qual DDD? Uauhauj"
"Olá {br} Tudo certo?","Oii {br} Td e vc??"
"Oii {br} Td e vc??","Tudo ótimo {br} Faz engenharia mecânica aonde?"
"Tudo ótimo {br} Faz engenharia mecânica aonde?","Vou fazer"
"Vou fazer","Hmmmm {br} E pretende fazer aonde?"
"Hmmmm {br} E pretende fazer aonde?","Passei no IME"
"Passei no IME","Caramba {br} Que foda {br} É no Rio né?"
"Caramba {br} Que foda {br} É no Rio né?","Ss {br} Haha"
"Ss {br} Haha","Meus parabéns {br} É concorrido demais"
"Meus parabéns {br} É concorrido demais","Ss"
"Ss","Já tem previsão de quando vai se mudar?"
"Já tem previsão de quando vai se mudar?","Fevereiro mais ou menos"
"Fevereiro mais ou menos","Legal"
"Legal","Ahamm"
"Ahamm","Será que antes sobra um tempo para comer um açaí e bater um papo? {br} Hahahaha"
"Será que antes sobra um tempo para comer um açaí e bater um papo? {br} Hahahaha","Clr {br} Hahahha"
"Clr {br} Hahahha","Feshow kkkkk {br} É daqui de Blumenau mesmo né?"
"Feshow kkkkk {br} É daqui de Blumenau mesmo né?","Ss"
"Ss","Legal {br} Sou novo na cidade kkkkk"
"Legal {br} Sou novo na cidade kkkkk","Quanto tempo?"
"Quanto tempo?","Vim no final de outubro"
"Vim no final de outubro","Ata {br} Hahha"
"Ata {br} Hahha","Se quiser me chamar no whats {br} Fica melhor para conversarmos {br} 47 84358176"
"Oiee {br} Tudo bem? {br} Olá","Ooii, sim e vc?"
"Ooii, sim e vc?","Tudo ótimo {br} É de onde Larissa?"
"Tudo ótimo {br} É de onde Larissa?","Blumenau e vc?"
"Blumenau e vc?","Blumenau também {br} Mudei a uns 6 meses"
"Blumenau também {br} Mudei a uns 6 meses","Ahh sim, que bairro?"
"Ahh sim, que bairro?","Tô morando no centro {br} Atrás do Angeloni da Proeb"
"Tô morando no centro {br} Atrás do Angeloni da Proeb","Ah sim"
"Ah sim","E você?"
"E você?","Itoupavazinha"
"Itoupavazinha","Gosta de fazer oq?"
"Gosta de fazer oq?","Jogar futebol, ouvir música, cozinhar e vc?"
"Jogar futebol, ouvir música, cozinhar e vc?","Jogar futebol é bom demais hahaha {br} Sair com os amigos {br} De tudo um pouco"
"Jogar futebol é bom demais hahaha {br} Sair com os amigos {br} De tudo um pouco","Muito bom mesmo"
"Muito bom mesmo","Faz oq em Blumenau? {br} Estuda?"
"Faz oq em Blumenau? {br} Estuda?","Estudo e treino e vc?"
"Oiee","Ooi"
"Ooi","Tudo bom?"
"Tudo bom?","Tudo sim e com vc?"
"Tudo sim e com vc?","Tudo tranquilo {br} É aqui de Blumenau mesmo?"
"Tudo tranquilo {br} É aqui de Blumenau mesmo?","Sim sim"
"Sim sim","Legal {br} Me mudei para cá {br} Faz uns 6 meses {br} Estou amando a cidade {br} Hahaha"
"Legal {br} Me mudei para cá {br} Faz uns 6 meses {br} Estou amando a cidade {br} Hahaha","Huum {br} Amo morar aquui {br} Hahahah {br} Mora aonde antes?"
"Huum {br} Amo morar aquui {br} Hahahah {br} Mora aonde antes?","Morava em Rio do Sul {br} Uma cidade a uns 100km daqui"
"Morava em Rio do Sul {br} Uma cidade a uns 100km daqui","Huum {br} Sei onde é"
"Huum {br} Sei onde é","Vim para cá por causa de uma proposta de emprego {br} És ou dividindo apartamento com um amigo {br} Estou** {br} Do lado do Angeloni da Proeb"
"Vim para cá por causa de uma proposta de emprego {br} És ou dividindo apartamento com um amigo {br} Estou** {br} Do lado do Angeloni da Proeb","Huum {br} Siim {br} Entendi"
"Huum {br} Siim {br} Entendi","E vc {br} Faz oq aqui em Blumenau?"
"E vc {br} Faz oq aqui em Blumenau?","Então {br} Eu estudo {br} Kkkkk {br} Já conhece bastante lugares aqui?"
"Então {br} Eu estudo {br} Kkkkk {br} Já conhece bastante lugares aqui?","Legal {br} Estuda a onde?"
"Legal {br} Estuda a onde?","No João widemann"
"No João widemann","Hmm {br} E oq tu gosta de fazer?"
"Hmm {br} E oq tu gosta de fazer?","Faço um pouco de tudo {br} Sou bem eclética sabe {br} Gosto de ler e escutar mpb {br} Mas tbm gosto de rave {br} Kkkkkk"
"Faço um pouco de tudo {br} Sou bem eclética sabe {br} Gosto de ler e escutar mpb {br} Mas tbm gosto de rave {br} Kkkkkk","Uhumm {br} Não quer me passar seu número? {br} Para conversamos pelo whats?"
"Oláa","Hey {br} Tudo bem ai?"
"Oi","Oláa"
"Oláa","Tudo?"
"Tudo?","Tudo certo {br} E com você?"
"Oiee {br} Tudo bem?","Oii {br} Tudo sim e cntg?"
"Oi","Oláa"
"Oláa","Bem?"
"Bem?","Tudo certo {br} Um pouco cansado pq acabei de voltar da academia {br} E você?"
"Tudo certo {br} Um pouco cansado pq acabei de voltar da academia {br} E você?","Tudoo"
"Tudoo","Que bom {br} É de Blumenau mesmo?"
"Que bom {br} É de Blumenau mesmo?","Gaspar."
"Gaspar.","Hmmm {br} Pertinho"
"Hmmm {br} Pertinho","Ahaam"
"Ahaam","Oi sumida {br} Hahahaha"
"Oi sumida {br} Hahahaha","Oi djss {br} Kkkkk*"
"Oi djss {br} Kkkkk*","Tudo certo?"
"Tudo certo?","Tudo,eai?"
"Tudo,eai?","Tudo tranquilo {br} Tirando o calor é claro {br} Hahahaha"
"Tudo tranquilo {br} Tirando o calor é claro {br} Hahahaha","simm,tá muito calor"
"simm,tá muito calor","Já voltou as tuas aulas?"
"Já voltou as tuas aulas?","Simm {br} E você?"
"Simm {br} E você?","Acabei de me mudar para Blumenau {br} Minha transferência da faculdade atrasou um pouco {br} Vou voltar na metade do ano"
"Acabei de me mudar para Blumenau {br} Minha transferência da faculdade atrasou um pouco {br} Vou voltar na metade do ano","Ah tá"
"Ah tá","Vc está no ensino médio?"
"Vc está no ensino médio?","Sim"
"Sim","Qual ano?"
"Qual ano?","1"
"1","Legal {br} Ensino médio é muito bom {br} Tenho saudades {br} Hahaha"
"Legal {br} Ensino médio é muito bom {br} Tenho saudades {br} Hahaha","Sim, realmente é bom"
"Sim, realmente é bom","Me conta {br} Oq tu gosta de fazer?"
"Me conta {br} Oq tu gosta de fazer?","Gosto de matematica até"
"Gosto de matematica até","Hmmm {br} Já tem alguma ideia sobre qual faculdade quer fazer?"
"Hmmm {br} Já tem alguma ideia sobre qual faculdade quer fazer?","quero fazer psicologia {br} E você faz do que?"
"quero fazer psicologia {br} E você faz do que?","Faço ciências da computação"
"Faço ciências da computação","Ah tá"
"Ah tá","Sempre gostei {br} Sempre gostei {br} De computação {br} Desde moleque"
"Sempre gostei {br} Sempre gostei {br} De computação {br} Desde moleque","Você tem que idade?"
"Você tem que idade?","19 {br} Faço 20 em abril"
"19 {br} Faço 20 em abril","Ah tá"
"Ah tá","Oque vc gosta de fazer para se divertir? {br} Sai com os amigos? Netflix? {br} Haha"
"Oque vc gosta de fazer para se divertir? {br} Sai com os amigos? Netflix? {br} Haha","Adoro assisti netfilx {br} E você?"
"Adoro assisti netfilx {br} E você?","Tudo um pouco {br} Mas gosto de ficar em casa assistindo tbm"
"Tudo um pouco {br} Mas gosto de ficar em casa assistindo tbm","Gosta de série?"
"Gosta de série?","Amo hahaha"
"Amo hahaha","KKK"
"KKK","Oq vc acha de me passar seu número? {br} Acho melhor falar pelo whats"
"Oq vc acha de me passar seu número? {br} Acho melhor falar pelo whats","96598241 {br} oii"
"96598241 {br} oii","Oiee"
"Oiee","meu celular estrago nsugda"
"meu celular estrago nsugda","Hmmm {br} Tá sem whatsapp?"
"Hmmm {br} Tá sem whatsapp?","sim"
"sim","Puts {br} Que foda"
"Puts {br} Que foda","sim,tenso {br} Veio o meu celular {br} Tem como me passar o teu numero"
"Oiee","Oii"
"Oii","Tudo bom?"
"Olá {br} Tudo certo?","Uhum"
"Uhum","É aqui de Blumenau mesmo?"
"É aqui de Blumenau mesmo?","Sim"
"Sim","Pelo jeito não está muito afim de papo né? {br} 🤗🤗🤗"
"Pelo jeito não está muito afim de papo né? {br} 🤗🤗🤗","Kkkkkk {br} Respondi normal"
"Kkkkkk {br} Respondi normal","Hahahaha {br} Então me conta {br} Faz oq aqui em Blumenau? {br} Trabalha? estuda?"
"Hahahaha {br} Então me conta {br} Faz oq aqui em Blumenau? {br} Trabalha? estuda?","Estudo"
"Estudo","Aonde?"
"Aonde?","Furb"
"Furb","Faz qual faculdade?"
"Faz qual faculdade?","N faço faculdade {br} Kkkkk"
"N faço faculdade {br} Kkkkk","Ué tem ensino médio na Furb? {br} Kkkkk {br} Não sabia"
"Ué tem ensino médio na Furb? {br} Kkkkk {br} Não sabia","Sim"
"Sim","Legal {br} Já está no terceiro ano?"
"Legal {br} Já está no terceiro ano?","Não {br} Tô no 1"
"Não {br} Tô no 1","Nossa {br} Tu parece ser mais velha pelas fotos {br} Hahahaha"
"Nossa {br} Tu parece ser mais velha pelas fotos {br} Hahahaha","Kkkkk"
"Kkkkk","Mora em qual bairro?"
"Mora em qual bairro?","Ponta aguda"
"Oiee","Ola"
"Ola","Tudo bom?"
"Tudo bom?","Sim e você?"
"Sim e você?","Tudo ótimo {br} É aqui de Blumenau mesmo?"
"Tudo ótimo {br} É aqui de Blumenau mesmo?","Sim sim {br} Moro na Itoupava Seca {br} E você?"
"Sim sim {br} Moro na Itoupava Seca {br} E você?","Mudei para Blumenau a uns 6 meses {br} Estou morando perto dá Proeb"
"Mudei para Blumenau a uns 6 meses {br} Estou morando perto dá Proeb","Passo ali todos os dias haha"
"Passo ali todos os dias haha","Que legal {br} Faz oq? {br} Estuda?"
"Que legal {br} Faz oq? {br} Estuda?","Trabalho"
"Trabalho","Hmm {br} Trabalha com oq?"
"Hmm {br} Trabalha com oq?","Suporte técnico"
"Suporte técnico","Legal {br} Eu trabalho como programador"
"Legal {br} Eu trabalho como programador","Hmmm"
"Hmmm","Gosta de fazer oq?"
"Gosta de fazer oq?","Dormir"
"Dormir","Hahaha {br} Fica meio complicado te convidar {br} Para Dormir comigo {br} 🤗🤗🤗 {br} Hahaha"
"Hahaha {br} Fica meio complicado te convidar {br} Para Dormir comigo {br} 🤗🤗🤗 {br} Hahaha","Kkkkkk"
"Kkkkkk","Olá"
"Olá","Oie"
"Oie","Tudo bom?"
"Tudo bom?","Sim e você?"
"Sim e você?","Tudo ótimo {br} Oq acha de me passar seu número? {br} Acho melhor conversar pelo whats"
"Tudo ótimo {br} Oq acha de me passar seu número? {br} Acho melhor conversar pelo whats","Então rs {br} Não obrigada"
"Olá","Oi"
"Oi","Tudo bom?"
"Tudo bom?","Td e vc?"
"Td e vc?","Tudo tranquilo {br} Vc é de Rio do Sul?"
"Tudo tranquilo {br} Vc é de Rio do Sul?","Sim e Vc?"
"Sim e Vc?","Eu era {br} Mudei para Blumenau {br} Faz uns 6 meses"
"Eu era {br} Mudei para Blumenau {br} Faz uns 6 meses","Ah sim"
"Ah sim","Faz oq em Rio do Sul?"
"Ooee {br} Oiee* {br} Tudo bom?","Oii {br} Td sim e vc?"
"Oii {br} Td sim e vc?","Tudo certo {br} É aqui de Blumenau mesmo?"
"Tudo certo {br} É aqui de Blumenau mesmo?","Não {br} Mas agora moro aqui {br} E vc?"
"Não {br} Mas agora moro aqui {br} E vc?","Mudei para cá faz uns 6 meses {br} Faz oq por aqui?"
"Mudei para cá faz uns 6 meses {br} Faz oq por aqui?","Estudo {br} E vc?"
"Estudo {br} E vc?","Estudo e trabalho {br} Tá fazendo faculdade?"
"Estudo e trabalho {br} Tá fazendo faculdade?","Isso {br} Eng de materiais {br} E vc {br} ?"
"Isso {br} Eng de materiais {br} E vc {br} ?","Faço Ciências da Computação {br} E trabalho como programador"
"Faço Ciências da Computação {br} E trabalho como programador","Na furb? {br} Ah, que legal {br} Tô tendo programação na facul, não esperava gostar mas é interessante"
"Na furb? {br} Ah, que legal {br} Tô tendo programação na facul, não esperava gostar mas é interessante","Uhumm {br} Vc faz na Furb tbm?"
"Uhumm {br} Vc faz na Furb tbm?","Nope {br} UFSC"
"Nope {br} UFSC","Hmmm {br} O cara com quem divido apartamento {br} Estuda ali também {br} E meu trabalho é bem próximo"
"Hmmm {br} O cara com quem divido apartamento {br} Estuda ali também {br} E meu trabalho é bem próximo","Ele faz o que? Vai que eu conheço hahaahah {br} E eu moro pertinho da furb e divido com uma guria daí"
"Ele faz o que? Vai que eu conheço hahaahah {br} E eu moro pertinho da furb e divido com uma guria daí","Gabriel Dolzan {br} Faz engenharia de controle e automação"
"Gabriel Dolzan {br} Faz engenharia de controle e automação","Não sou boa com nomes {br} Ahshahsha pelo menos, pelo nome não faço ideia"
"Não sou boa com nomes {br} Ahshahsha pelo menos, pelo nome não faço ideia","Acho que vcs não se conhecem {br} Perguntei para ele {br} E ele não lembrava de nenhuma Laís {br} Hahaha"
"Acho que vcs não se conhecem {br} Perguntei para ele {br} E ele não lembrava de nenhuma Laís {br} Hahaha","Simmm hahahaha {br} Não estudo la a mt tempo também"
"Simmm hahahaha {br} Não estudo la a mt tempo também","Hmmm {br} Oq tu acha de me passar teu número? {br} E a gente se falar pelo whats?"
"Olá {br} Tudo bom?","Oi, sim e você?"
"Oi, sim e você?","Tudo bem também {br} É de onde?"
"Tudo bem também {br} É de onde?","Brusque"
"Brusque","Hmm"
"Hmm","Rs"
"Rs","Mudei para Blumenau {br} Faz uns 6 meses"
"Mudei para Blumenau {br} Faz uns 6 meses","E era da onde?"
"E era da onde?","Rio do Sul {br} Uma cidade a uns 100km daqui"
"Rio do Sul {br} Uma cidade a uns 100km daqui","Ahh sim"
"Ahh sim","Faz oq em Brusque? {br} Estuda? Trabalha?"
"Faz oq em Brusque? {br} Estuda? Trabalha?","No momento nada, tem poucos dias eu aqui {br} Estou procurando um trabalho e vou começar a ajeitar as coisas referente a faculdade"
"No momento nada, tem poucos dias eu aqui {br} Estou procurando um trabalho e vou começar a ajeitar as coisas referente a faculdade","Hmmm {br} Se mudou a pouco tempo também?"
"Hmmm {br} Se mudou a pouco tempo também?","Sim, uma semana hoje"
"Sim, uma semana hoje","Hmmm {br} Se mudou com os pais?"
"Hmmm {br} Se mudou com os pais?","Estou com meus tios"
"Estou com meus tios","Legal {br} Estou dividindo apartamento com um amigo em Blumenau"
"Legal {br} Estou dividindo apartamento com um amigo em Blumenau","Deve ser bom demais morar com amigos"
"Deve ser bom demais morar com amigos","Simm {br} O cara com quem eu moro {br} É meu amigo desde a 8° série"
